$ sh -c pmset -g log | grep -E "Sleep|Wake|DarkWake|Display is turned|Notification" | tail -400
2026-09-15 07:31:53 -0400 Assertions          	PID 96046(Google Chrome) Created NoDisplaySleepAssertion "Video Wake Lock" 00:00:00  id:0x0x500009259 [System: PrevIdle PrevDisp DeclUser kDisp]          
2026-09-15 07:31:56 -0400 Assertions          	PID 351(powerd) TurnedOn InternalPreventDisplaySleep "com.apple.powermanagement.delayDisplayOff" 00:00:00  id:0x0x100000842b [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-09-15 07:31:56 -0400 Assertions          	PID 96046(Google Chrome) Released NoDisplaySleepAssertion "Video Wake Lock" 00:00:03  id:0x0x500009259 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-09-15 07:32:02 -0400 Assertions          	PID 96046(Google Chrome) Created NoDisplaySleepAssertion "Video Wake Lock" 00:00:00  id:0x0x50000925c [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-09-15 07:32:06 -0400 Assertions          	PID 96046(Google Chrome) Released NoDisplaySleepAssertion "Video Wake Lock" 00:00:03  id:0x0x50000925c [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-09-15 07:32:06 -0400 Assertions          	PID 96046(Google Chrome) Created NoDisplaySleepAssertion "Video Wake Lock" 00:00:00  id:0x0x50000925d [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-09-15 07:32:10 -0400 Assertions          	PID 96046(Google Chrome) Released NoDisplaySleepAssertion "Video Wake Lock" 00:00:03  id:0x0x50000925d [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-09-15 07:32:13 -0400 Assertions          	PID 96046(Google Chrome) Created NoDisplaySleepAssertion "Video Wake Lock" 00:00:00  id:0x0x50000925f [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-09-15 07:33:07 -0400 Assertions          	PID 96046(Google Chrome) Released NoDisplaySleepAssertion "Video Wake Lock" 00:00:54  id:0x0x50000925f [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-09-15 07:33:07 -0400 Assertions          	PID 96046(Google Chrome) Created NoDisplaySleepAssertion "Video Wake Lock" 00:00:00  id:0x0x500009269 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-09-15 07:33:33 -0400 Assertions          	PID 96046(Google Chrome) Released NoDisplaySleepAssertion "Video Wake Lock" 00:00:25  id:0x0x500009269 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-09-15 07:33:35 -0400 Assertions          	PID 96046(Google Chrome) Released NoIdleSleepAssertion "Playing audio" 00:01:14  id:0x0x100009261 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-09-15 07:33:43 -0400 Assertions          	PID 428(coreaudiod) TurnedOff PreventUserIdleSystemSleep "com.apple.audio.BuiltInSpeakerDevice.context.preventuseridlesleep" 00:01:21  id:0x0x1000090a9 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
